"third_conj_not_dep_presentStem"	"third_conj_not_dep___meaning"
"2253"	"reviso"	"revisit, go back and see;"
"2254"	"revivisco"	"come to life again, revive (in spirit);"
"2255"	"revivo"	"live again;"
"2256"	"revolvo"	"throw back, roll back;"
"2257"	"revomo"	"vomit up again, spew out;"
"2258"	"rigesco"	"grow stiff or numb; stiffen harden;"
"2259"	"rodo"	"gnaw, peck;"
"2260"	"rubefacio"	"redden;"
"2261"	"rubesco"	"turn red, redden, become red;"
"2262"	"rudo"	"bellow, roar, bray, creak loudly;"
"2263"	"rumpo"	"break; destroy;"
"2264"	"ruo"	"destroy, ruin, overthrow; rush on, run; fall; charge (in + ACC); be ruined;"
"2265"	"sallo"	"salt, salt down, preserve with salt; sprinkle before sacrifice;"
"2266"	"salo"	"salt, salt down, preserve with salt; sprinkle before sacrifice;"
"2267"	"sanesco"	"recover, get well (patient); heal (wound);"
"2268"	"sapio"	"taste of; understand; have sense;"
"2269"	"satago"	"bustle about, fuss, busy one's self; be hard pressed, have one's hands full;"
"2270"	"satisfacio"	"satisfy; make amends; apologize, excuse; satisfy a claim; compensate; suffice;"
"2271"	"satisfacio"	"|give satisfactory assurance (to/that); give all (attention) that is required;"
"2272"	"scabo"	"scratch, scrape;"
"2273"	"scalpo"	"scratch, draw nails across (itch/affection); dig out (w/nails); carve/engrave;"
"2274"	"scando"	"climb; mount, ascend, get up, clamber;"
"2275"	"scato"	"gush out, bubble, spring forth; swarm (with), be alive (with);"
"2276"	"scindo"	"tear, rend, cut to pieces; tear (clothes/hair) in rage/grief/despair;"
"2277"	"scindo"	"tear, split, divide; rend, cut to pieces; tear in rage/grief/despair;"
"2278"	"scisco"	"investigate, inquire; (political) vote; ordain;"
"2279"	"scobo"	"probe; look into; search; scope out; sweep (Douay) (prob. confused with V 1 1);"
"2280"	"scopo"	"probe; look into; search; scope out; sweep (Douay) (prob. confused with V 1 1);"
"2281"	"scribo"	"write; compose;"
"2282"	"sculpo"	"carve, engrave (inscription/face); fashion/work into form by carving/engraving;"
"2283"	"secedo"	"withdraw; rebel; secede;"
"2284"	"secerno"	"separate;"
"2285"	"secludo"	"shut off;"
"2286"	"seduco"	"lead away, lead apart; lead astray, seduce;"
"2287"	"sejungo"	"separate; exclude;"
"2288"	"selego"	"select, choose, pick out; weed out;"
"2289"	"seligo"	"select, choose, pick out; weed out;"
"2290"	"senesco"	"grow old; grow weak, be in a decline; become exhausted;"
"2291"	"sentisco"	"begin to perceive;"
"2292"	"sepelo"	"bury/inter; (Romans cremate + inter ashes); submerge, overcome; suppress; ruin;"
"2293"	"sepono"	"put away from one; disregard; isolate; reserve;"
"2294"	"seresco"	"grow dry;"
"2295"	"sero"	"wreath; join, entwine, interweave, bind together; compose; contrive;"
"2296"	"sero"	"sow, plant; strew, scatter, spread; cultivate; beget, bring forth;"
"2297"	"serpo"	"crawl; move slowly on, glide; creep on;"
"2298"	"sido"	"settle; sink down; sit down; run aground;"
"2299"	"silesco"	"grow quiet;"
"2300"	"silvesco"	"run wild (of a vine), run to wood;"
"2301"	"sino"	"allow, permit;"
"2302"	"sisto"	"stop, check; cause to stand; set up;"
"2303"	"solidesco"	"become firm; become solid;"
"2304"	"solvo"	"loosen, release, unbind, untie, free; open; set sail; scatter; pay off/back;"
"2305"	"sono"	"make a noise/sound; speak/utter, emit sound; be spoken of (as); express/denote;"
"2306"	"sono"	"|echo/resound; be heard, sound; be spoken of (as); celebrate in speech;"
"2307"	"spargo"	"scatter, strew, sprinkle; spot;"
"2308"	"specio"	"look at, see;"
"2309"	"sperno"	"scorn, despise, spurn;"
"2310"	"spicio"	"look at, see;"
"2311"	"spissesco"	"become more compact, thicken;"
"2312"	"splendesco"	"become bright, begin to shine; derive luster;"
"2313"	"spumesco"	"become foamy;"
"2314"	"spuo"	"spit, spit out;"
"2315"	"statuo"	"set up, establish, set, place, build; decide, think;"
"2316"	"sterno"	"spread, strew, scatter; lay out;"
"2317"	"sternuo"	"sneeze;"
"2318"	"sterto"	"snore;"
"2319"	"stinguo"	"extinguish, put out; annihilate;"
"2320"	"strepo"	"make a loud noise; shout confusedly; resound;"
"2321"	"strido"	"creak, squeak, grate, shriek, whistle; (make shrill sound); hiss; gnash;"
"2322"	"stringo"	"draw tight; draw; graze; strip off;"
"2323"	"struo"	"build, construct;"
"2324"	"stupefacio"	"strike dumb/stun with amazement, stupefy; strike senseless;"
"2325"	"stupesco"	"become amazed;"
"2326"	"subcido"	"sink/collapse (support gave way); give way (knees); fall (under), be included;"
"2327"	"subcumbo"	"sink/fall/lie/break down; succumb/collapse (w/weight); suffer/concede defeat;"
"2328"	"subcumbo"	"|surrender; yield; lay under; lie under/submit (female to male); cohabit (L+S);"
"2329"	"subcumbo"	"||give in/way; lower itself (animal to take load); be rival to (DAT of a woman);"
"2330"	"subdiffido"	"be somewhat distrustful;"
"2331"	"subdistinguo"	"reduce distinction; make smaller interpunctuation;"
"2332"	"subdo"	"place under, apply; supply;"
"2333"	"subduco"	"lead up, carry off; transfer; haul;"
"2334"	"subedo"	"eat away below;"
"2335"	"subfervefacio"	"simmer, bring/keep almost to a boil; warm from below (L+S);"
"2336"	"subfodio"	"undermine, dig under; pierce or prod below;"
"2337"	"subicio"	"throw under, place under; make subject; expose;"
"2338"	"subigo"	"conquer, subjugate; compel;"
"2339"	"subintellego"	"understand a little;"
"2340"	"subjicio"	"throw under, place under; make subject; expose;"
"2341"	"subjungo"	"join with, unite; subdue, subject;"
"2342"	"sublego"	"pick up from the ground, steal away;"
"2343"	"sublino"	"smear over surface/on underside; back (with); plaster; apply undercoat; trick;"
"2344"	"subluo"	"wash, flow at the base of;"
"2345"	"submergo"	"plunge under, submerge;"
"2346"	"submitto"	"allow to grow long; emit, put forth, raise; lower, moderate, relieve; submit;"
"2347"	"subnecto"	"bind under, add, subjoin, fasten up;"
"2348"	"suboffendo"	"give some offense;"
"2349"	"subolesco"	"grow up;"
"2350"	"subrepo"	"creep (under/up to); move stealthily; ooze/seep (liquid); insinuate self;"
"2351"	"subrepo"	"|come on gradually/imperceptibly/by degrees (conditions); steal along/on;"
"2352"	"subrigo"	"rise, lift (Collins);"
"2353"	"subripio"	"snatch away, steal;"
"2354"	"subruo"	"undermine;"
"2355"	"subscribo"	"write below, subscribe;"
"2356"	"subsero"	"sow; plant; plant secretly;"
"2357"	"subsero"	"plant under;"
"2358"	"subsido"	"settle, sink, subside; neglect (Latham);"
"2359"	"subsisto"	"halt, stand; cause to stop;"
"2360"	"substerno"	"spread out (as an underlay);"
"2361"	"substituo"	"place in rear/reserve; make subject/answerable to; substitute; make alternative;"
"2362"	"substringo"	"draw in close, gather up; draw tight; [aurem ~ => to strain your ears];"
"2363"	"substruo"	"build up from the base, support by means of substructures;"
"2364"	"subtendo"	"extend beneath, subtend;"
"2365"	"subterduco"	"carry off secretly;"
"2366"	"subterfugio"	"evade, avoid by a stratagem;"
"2367"	"subtero"	"rub under; rub off; pound;"
"2368"	"subtexo"	"weave beneath; veil; subjoin, attach as a sequel (to);"
"2369"	"subtraho"	"carry off; take away; subtract;"
"2370"	"subveho"	"convey upwards; convey up; sail upstream (PASS);"
"2371"	"subverto"	"overturn, cause to topple; overthrow, destroy, subvert;"
"2372"	"subvolvo"	"roll uphill;"
"2373"	"succedo"	"climb; advance; follow; succeed in;"
"2374"	"succendo"	"set on fire;"
"2375"	"succido"	"sink/collapse (support gave way); give way (knees); fall (under), be included;"
"2376"	"succido"	"cut down; cut from below, undercut; carve out underside; kill as 2nd offering;"
"2377"	"succingo"	"gather up with a belt or girdle; prepare for action; surround;"
"2378"	"succino"	"sing to, accompany; (in speech) chime in;"
"2379"	"succresco"	"come up; grow up; overflow;"
"2380"	"succumbo"	"sink/fall/lie/break down; succumb/collapse (w/weight); suffer/concede defeat;"
"2381"	"succumbo"	"|surrender; yield; lay under; lie under/submit (female to male); cohabit (L+S);"
"2382"	"succumbo"	"||give in/way; lower itself (animal to take load); be rival to (DAT of a woman);"
"2383"	"succurro"	"run to the aid of, help;"
"2384"	"succurro"	"run to the aid of, help;"
"2385"	"succutio"	"shake from below;"
"2386"	"suesco"	"become accustomed (to);"
"2387"	"suffervefacio"	"simmer, bring/keep almost to a boil; warm from below (L+S);"
"2388"	"sufficio"	"be sufficient, suffice; stand up to; be capable/qualified; provide, appoint;"
"2389"	"suffigo"	"fix/fasten/attach/affix (to top); (as punishment); crucify; fix/insert below;"
"2390"	"suffodio"	"undermine, dig under; pierce or prod below;"
"2391"	"suffringo"	"break beneath;"
"2392"	"suffugio"	"flee away; flee from;"
"2393"	"suffundo"	"pour in/on; cause to well up to surface; cover/fill with liquid that wells up;"
"2394"	"suggero"	"suggest, furnish;"
"2395"	"sugo"	"suck; imbibe; take in;"
"2396"	"summergo"	"plunge under, submerge;"
"2397"	"summitto"	"allow to grow long; emit, put forth, raise; lower, moderate, relieve; submit;"
"2398"	"sumo"	"take up; begin; suppose, assume; select; purchase; exact (punishment); obtain;"
"2399"	"sumo"	"accept; begin; suppose; select; purchase; obtain; (sumpsi, sumptum);"
"2400"	"suo"	"sew together/up, stitch;"
"2401"	"superaddo"	"add or affix on the surface;"
"2402"	"superadicio"	"add besides;"
"2403"	"superappono"	"place above;"
"2404"	"superdico"	"say in addition;"
"2405"	"superduco"	"bring home as successor to former wife;"
"2406"	"superexcedo"	"surpass;"
"2407"	"superfluo"	"overflow, flow over brim/sides/surface; be superfluous/superabundant/surplus;"
"2408"	"superfundo"	"pour over, cover (surface); spill over, pour over brim; pour in (invaders);"
"2409"	"superimpendo"	"spend, exhaust; (upon any thing);"
"2410"	"superimpono"	"place on top or over;"
"2411"	"superincumbo"	"lean over;"
"2412"	"superingo"	"bring upon; pour down (eg sun-rays);"
"2413"	"superinicio"	"throw/scatter on/upon/over the surface;"
"2414"	"superinjicio"	"throw/scatter on/upon/over the surface;"
"2415"	"superinpendo"	"spend, exhaust; (upon any thing);"
"2416"	"superinsterno"	"spread/lay on over the surface;"
"2417"	"superinungo"	"besmear; smear over; E:anoint;"
"2418"	"superinvalesco"	"excel in strength;"
"2419"	"superjacio"	"throw or scatter on top o; over the surface; shoot over the top of;"
"2420"	"superlino"	"smear over; besmear;"
"2421"	"supermitto"	"throw over;"
"2422"	"superobruo"	"overwhelm (Col); overrun; overthrow;"
"2423"	"superpono"	"place over or on top; put in charge;"
"2424"	"superruo"	"fall upon; rush upon;"
"2425"	"superscando"	"climb over;"
"2426"	"supersido"	"dispense with;"
"2427"	"supersterno"	"spread or lay on top;"
"2428"	"superstruo"	"build over; build on top;"
"2429"	"supertego"	"cover over;"
"2430"	"supervado"	"surmount;"
"2431"	"supervivo"	"survive, outlive;"
"2432"	"suppedo"	"break wind gently, fart quietly;"
"2433"	"suppeto"	"be at hand; be equal to; be sufficient for;"
"2434"	"suppingo"	"fasten underneath; paint over;"
"2435"	"supplodo"	"stamp;"
"2436"	"suppono"	"place under; substitute; suppose;"
"2437"	"supprimo"	"press down or under; suppress; keep back, contain; stop, check;"
"2438"	"supradico"	"say in addition to; say above, say before;"
"2439"	"suprascando"	"climb on top of;"
"2440"	"suprascribo"	"title/entitle; inscribe;"
"2441"	"surgo"	"rise, lift; grow;"
"2442"	"surpo"	"take away secretly; steal, filch; (archaic form of surripere);"
"2443"	"surrepo"	"creep (under/up to); move stealthily; ooze/seep (liquid); insinuate self;"
"2444"	"surrepo"	"|come on gradually/imperceptibly/by degrees (conditions); steal along/on;"
"2445"	"surrido"	"smile;"
"2446"	"surripio"	"take away secretly; steal, filch;"
"2447"	"suscipio"	"undertake; support; accept, receive, take up;"
"2448"	"suspendo"	"hang up, suspend;"
"2449"	"suspicio"	"look up to; admire;"
"2450"	"sustollo"	"raise on high;"
"2451"	"tabefacio"	"melt; dissolve; subdue;"
"2452"	"tabesco"	"melt, dissolve; dry up, evaporate; waste away, dwindle away; (mental aspect);"
"2453"	"tango"	"touch, strike; border on, influence; mention;"
"2454"	"tardesco"	"become slow;"
"2455"	"tego"	"cover, protect; defend; hide;"
"2456"	"temno"	"scorn, despise;"
"2457"	"tendo"	"stretch/spread/extend; distend; aim/direct weapon/glance/steps/course; strive;"
"2458"	"tendo"	"|pitch tent, encamp; pull tight; draw (bow); press on, insist; exert oneself;"
"2459"	"tendo"	"stretch/spread/extend; distend; aim/direct weapon/glance/steps/course; strive;"
"2460"	"tendo"	"|pitch tent, encamp; pull tight; draw (bow); press on, insist; exert oneself;"
"2461"	"tenebrasco"	"grow dark; become dark;"
"2462"	"tenebresco"	"grow dark; become dark;"
"2463"	"tenerasco"	"grow tender;"
"2464"	"tepefacio"	"make warm, warm up;"
"2465"	"tepesco"	"grow warm/acquire some heat; become tepid/lukewarm; grow warm/cool (passion);"
"2466"	"tergo"	"rub, wipe; wipe off, wipe dry; clean, cleanse (sometimes tergeo);"
"2467"	"tero"	"rub, wear away, wear out; tread;"
"2468"	"texo"	"weave; plait (together); construct with elaborate care;"
"2469"	"tingo"	"wet/moisten/dip/soak; color/dye/tinge/tint, stain (w/blood); imbue; impregnate;"
"2470"	"tinguo"	"wet/moisten/dip/soak; color/dye/tinge/tint, stain (w/blood); imbue; impregnate;"
"2471"	"tollo"	"lift, raise; destroy; remove, steal; take/lift up/away;"
"2472"	"torpesco"	"grow numb, become slothful;"
"2473"	"torresco"	"be scorched; be roasted;"
"2474"	"trado"	"hand over, surrender; deliver; bequeath; relate;"
"2475"	"traduco"	"bring across/over, move/transfer; convert; cause to cross/to extend across area;"
"2476"	"traduco"	"|lead across; exhibit/display/carry past in parade/procession; pass/get through;"
"2477"	"traho"	"draw, drag, haul; derive, get;"
"2478"	"traicio"	"transfer; transport; pierce, transfix;"
"2479"	"trajicio"	"transfer; transport; pierce, transfix;"
"2480"	"transadigo"	"pierce through, thrust through;"
"2481"	"transcendo"	"climb/step/go across/over; board; transgress; exceed; pass on, make transition;"
"2482"	"transcido"	"cut through; flog hard;"
"2483"	"transcribo"	"copy (from book/tablet to another); transcribe; transfer (enrollment); forge;"
"2484"	"transcurro"	"run across; run or hasten through;"
"2485"	"transcurro"	"run across; run or hasten through;"
"2486"	"transdo"	"hand over, surrender; deliver; L:bequeath; G:relate; (=traho);"
"2487"	"transduco"	"bring across/over, move/transfer; convert; cause to cross/to extend across area;"
"2488"	"transduco"	"|lead across; exhibit/display/carry past in parade/procession; pass/get through;"
"2489"	"transfigo"	"transfix, pierce through;"
"2490"	"transfluo"	"flow through;"
"2491"	"transfodio"	"transfix, pierce, impale;"
"2492"	"transfugio"	"go over to the enemy, desert;"
"2493"	"transfundo"	"decant; pour from one vessel to another;"
"2494"	"transicio"	"transfer; transport; pierce, transfix;"
"2495"	"transigo"	"stab, pierce; finish, settle, complete, accomplish; perform; bargain, transact;"
"2496"	"transjicio"	"transfer; transport; pierce, transfix;"
"2497"	"transmitto"	"send across; go across; transmit;"
"2498"	"transpicio"	"look through, see through;"
"2499"	"transscendo"	"climb/step/go across/over; board; transgress; exceed; pass on, make transition;"
"2500"	"transscribo"	"copy (from book/tablet to another); transcribe; transfer (enrollment); forge;"
"2501"	"transspicio"	"look through, see through;"
"2502"	"transuo"	"pierce through;"
"2503"	"transveho"	"transport, lead across; elapse; carry;"
"2504"	"transverto"	"divert from one place/purpose to another; extend across;"
"2505"	"tranveho"	"transport, lead across; elapse; carry;"
"2506"	"tremefacio"	"cause to tremble;"
"2507"	"tremesco"	"tremble, quiver, vibrate; tremble at;"
"2508"	"tremisco"	"tremble, quiver, vibrate; tremble at; (tremescere);"
"2509"	"tremo"	"tremble, shake, shudder at;"
"2510"	"tribuo"	"divide, assign; present; grant, allot, bestow, attribute;"
"2511"	"trudo"	"thrust, push, shove; drive, force; drive on;"
"2512"	"tumefacio"	"cause to swell; puff up;"
"2513"	"tumesco"	"(begin to) swell; become inflamed with pride, passion, etc;"
"2514"	"tundo"	"beat; bruise, pulp, crush;"
"2515"	"tundo"	"beat; bruise, pulp, crush;"
"2516"	"turgesco"	"begin to swell;"
"2517"	"umesco"	"become moist or wet;"
"2518"	"ungo"	"anoint/rub (w/oil/unguent); smear with oil/grease; dress (food w/oil); add oil;"
"2519"	"unguo"	"anoint/rub (w/oil/unguent); smear with oil/grease; dress (food w/oil); add oil;"
"2520"	"uro"	"burn;"
"2521"	"usucapio"	"acquire ownership of (thing) by virtue of uninterrupted possession;"
"2522"	"uvesco"	"become wet;"
"2523"	"vacuefacio"	"empty/free/clear place); make room; make vacant; disencumber; abolish (L+S);"
"2524"	"vado"	"go, advance, rush, hurry; walk;"
"2525"	"valedico"	"say goodbye;"
"2526"	"valefacio"	"say goodbye;"
"2527"	"valesco"	"become sound in health; become powerful;"
