cass	totter, begin to fall; shake, waver (L+S);
cass	bring to naught, destroy; annul, make null and void;
castific	punish, correct; make pure;
castig	chastise/chasten, punish; correct, reprimand/dress down, castigate; neutralize;
castr	castrate, emasculate/unman; spay (animal); dock (tail); diminish/impair/weaken;
cataplasm	apply a poultice/plaster (to);
catechiss	instruct in religion, teach by question and answer, catechize;
catechiz	instruct in religion, teach by question and answer, catechize;
cateciz	instruct in religion, teach by question and answer, catechize;
caten	chain/bind/tie/shackle together; secure with bonds/chains/fetters;
catill	lick plates;
catomidi	lay one over shoulders of another and flog him; strike on shoulders;
cauteri	burn/mark with a branding iron, brand;
cauteriz	cauterize, burn with a hot iron; mark with a branding iron, brand;
cavern	make hollow;
cav	hollow out, make concave/hollow; excavate; cut/pierce through; carve in relief;
celebr	celebrate/perform; frequent; honor/glorify; publicize/advertise; discuss/bandy;
celer	quicken/accelerate; make haste, act quickly/be quick; hasten, hurry, do quickly;
cel	conceal, hide, keep secret; disguise; keep in dark/in ignorance; shield;
cenit	dine/eat habitually (in a particular place/manner); have dinner, dine (often);
cen	dine, eat dinner/supper; have dinner with; dine on, make a meal of;
centensim	take out every hundredth (for punishment), centesimate;
centraliz	centralize;
centuplic	increase a hundredfold;
centuri	arrange/assign (soldiers) in military centuries; divide land into centuriae;
cerific	make wax; spawn (of purple-fish) (make wax/prepare slimy nest for eggs);
cernul	throw headlong; throw down (L+S);
cernu	fall headfirst; dive; turn a somersault;
cer	smear/coat with wax;
certific	certify; register
certior	inform, show, apprise;
cespit	stumble;
cess	be remiss/inactive; hold back, leave off, delay, cease from; rest; be free of;
chal	let down, allow to hang free; loosen;
charaz	scratch, engrave;
charmid	Charmidize, turn into Charmides (comic character in Plautus' play Trinummus);
chenturi	arrange/assign (soldiers) in military centuries; divide land into centuriae;
Christianiz	profess Christianity;
cib	feed, give food/fodder to animals/men; (also passive sense) eat, take food;
cicur	tame; pacify;
cinematograph	film;
